timestamp_utc,species_id,ru_name,latin_name,modality,local_file,source_url,license,source_name
2026-05-05T09:06:25Z,SP005,Обыкновенная кукушка,Cuculus canorus,image,data/raw/images/SP005_img_02.jpg,https://commons.wikimedia.org/wiki/File:Common_Cuckoo_(Cuculus_canorus)_(31177813565).jpg,CC BY-SA 2.0,Wikimedia Commons
2026-05-05T09:06:25Z,SP005,Обыкновенная кукушка,Cuculus canorus,image,data/raw/images/SP005_img_03.jpg,https://commons.wikimedia.org/wiki/File:Common_Cuckoo_(Cuculus_canorus)_(8079424957).jpg,CC BY 2.0,Wikimedia Commons
2026-05-05T09:06:27Z,SP005,Обыкновенная кукушка,Cuculus canorus,audio,data/raw/audio/SP005_aud_01.mp3,https://commons.wikimedia.org/wiki/File:Bourne_woods_2020-05-20_0753.mp3,CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:06:30Z,SP006,Ласточка деревенская,Hirundo rustica,text,data/raw/text/SP006_text_01.txt,https://en.wikipedia.org/wiki/Barn_swallow,CC BY-SA 4.0 (Wikipedia content),Wikipedia
2026-05-05T09:06:41Z,SP006,Ласточка деревенская,Hirundo rustica,image,data/raw/images/SP006_img_01.jpg,"https://commons.wikimedia.org/wiki/File:Деревенская_ласточка_(Hirundo_rustica),_Мелихово.jpg",CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:06:43Z,SP006,Ласточка деревенская,Hirundo rustica,audio,data/raw/audio/SP006_aud_01.mp3,https://commons.wikimedia.org/wiki/File:Hirundo_rustica_-_Barn_Swallow_XC254488.mp3,CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:06:46Z,SP007,Обыкновенный соловей,Luscinia luscinia,text,data/raw/text/SP007_text_01.txt,https://en.wikipedia.org/wiki/Thrush_nightingale,CC BY-SA 4.0 (Wikipedia content),Wikipedia
2026-05-05T09:06:50Z,SP007,Обыкновенный соловей,Luscinia luscinia,image,data/raw/images/SP007_img_01.jpg,https://commons.wikimedia.org/wiki/File:Bluethroat_(Luscinia_svecica)_at_Ichkeul_NP.jpg,CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:06:51Z,SP007,Обыкновенный соловей,Luscinia luscinia,image,data/raw/images/SP007_img_02.jpg,https://commons.wikimedia.org/wiki/File:Bluethroat_(Luscinia_svecica_svecica)_male_Oppdal.jpg,CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:06:53Z,SP007,Обыкновенный соловей,Luscinia luscinia,image,data/raw/images/SP007_img_03.jpg,https://commons.wikimedia.org/wiki/File:Luscinia_calliope_-_Pak_Chong_2.jpg,CC BY-SA 3.0,Wikimedia Commons
