,title,topFeatures,price,categorie,brand
1132,LifeLine Avid Juicy-BB7 Disc Brake Pads,"[['brake type', 'hydraulic disc brake'], ['mtb', 'yes']]",4.99,disc_brake_pads,avid
1134,Nukeproof SRAM Avid Code 2011 On Disc Brake Pads,"[['compatible with', 'avid code, code r, code rsc 2011 onwards & guide re disc brakes'], ['organic', 'good initial bite, very short bed-in time, low noise'], ['semi-metallic', 'strong initial bite, fade-resistant, low noise'], ['sintered', 'high heat resistance, superior performance in wet and dry conditions, strong and consistent braking over wide range of speeds'], ['built for', 'am/xc/dh/fr'], ['brake type', 'hydraulic disc brake'], ['commuter', 'yes'], ['touring', 'yes'], ['mtb', 'yes']]",11.99,disc_brake_pads,avid
1135,LifeLine Avid BB5 Disc Brake Pads,"[['pad material', 'durable sintered compound'], ['brake type', 'hydraulic disc brake'], ['mtb', 'yes']]",4.99,disc_brake_pads,avid
1139,LifeLine Avid SRAM Code 2011 Disc Brake Pads,"[['compatible with', 'avid code, code r, code rsc 2011 onwards & guide re disc brakes'], ['brake type', 'caliper'], ['mtb', 'yes']]",5.99,disc_brake_pads,avid
1144,Nukeproof Avid Elixir-DB Disc Brake Pads 4 Pairs,"[['organic', 'good initial bite, very short bed-in time, low noise'], ['sintered', 'high heat resistance, superior performance in wet and dry conditions, strong and consistent braking over wide range of speeds'], ['built for', 'am/xc/dh/fr'], ['compatible with', 'avid elixir (1, 2, 3, 5, 7, r & cr)/db, sram xx/xo, trickstuff cleg 2 disc brakes']]",32.99,disc_brake_pads,avid
1147,Avid Level Disc Brake Pads,"[['pad type', 'organic with steel backplate'], ['compatibility', 'avid'], ['part number', 'hdbp5035031'], ['brake type', 'hydraulic disc brake'], ['mtb', 'yes']]",18.99,disc_brake_pads,avid
1152,Clarks Avid Juicy/BB7 Elite Disc Brake Pads,"[['material', 'mixed copper and ceramic for perfect performance during low & high speed'], ['compatibility', 'avid juicy 3,5.7 and ultimate brake system']]",8.99,disc_brake_pads,avid
1173,Clarks Avid X0 Trail/Guide Disc Brake Pads,"[['compatibility', 'avid xo trail disc brake pads']]",9.99,disc_brake_pads,avid
1203,Avid Code Disc Brake Pads,"[['compatibility', 'avid code and sram guide re disc brakes (suits 2011 onwards brake calipers only)'], ['compound', 'sintered and organic options'], ['brake type', 'hydraulic disc brake'], ['commuter', 'yes'], ['touring', 'yes'], ['mtb', 'yes']]",16.99,disc_brake_pads,avid
1211,Swissstop Avid Code R Disc Brake Pads,"[['fits', 'avid - code r 2011']]",17.49,disc_brake_pads,avid
5168,Ergon GA3 Mountain Bike Handlebar Grips,"[['material', 'gravitycontrol rubber'], ['clamps', 'carbon friendly cnc aluminium, black anodised'], ['use', 'trail riding, cross-country (xc), mountain bike (mtb)'], ['diameter', '30mm'], ['grip length', 'multiple options available to select'], ['weight', '115g (pair)'], ['mtb', 'yes']]",31.99,grips,bike_hand
1,Brooks England B17 Saddle,"[['weight', '520g'], ['width', '175mm'], ['length', '275mm'], ['height', '65mm'], ['rail material', 'steel'], ['road', 'yes']]",104.99,saddle,brooks
9,Brooks England Proofide Leather Bike Saddle Preserve,"[['options', '50ml tub or 30ml tub'], ['rail material', 'alloy'], ['road', 'yes']]",10.99,saddle,brooks
11,Brooks England B17 Carved Bike Saddle,"[['length', '275mm'], ['width', '175mm'], ['height', '65mm'], ['weight', '520g'], ['rail material', 'alloy'], ['road', 'yes']]",109.99,saddle,brooks
30,Brooks England Flyer Bike Saddle,"[['length', '275mm'], ['width', '175mm'], ['height', '87mm'], ['weight', '860g'], ['rail material', 'alloy'], ['road', 'yes']]",120.99,saddle,brooks
35,Brooks England B17 Short Bike Saddle,"[['width', '176mm'], ['length', '242mm'], ['height', '58mm'], ['weight', '460g'], ['rail material', 'alloy'], ['road', 'yes']]",98.99,saddle,brooks
36,Brooks England B67-S Short Bike Saddle,"[['length', '240mm'], ['width', '205mm'], ['height', '85mm'], ['weight', '810g'], ['rail material', 'alloy'], ['road', 'yes']]",94.99,saddle,brooks
60,Brooks England B17 Carved Short Bike Saddle,"[['width', '176 mm'], ['length', '242 mm'], ['height', '58 mm'], ['weight', '460g'], ['rail material', 'alloy'], ['road', 'yes']]",113.99,saddle,brooks
81,Brooks England Cambium All-Weather C13 Saddle,"[['rail material', 'continuous carbon (oval)'], ['rivet material', 'anodised aluminium'], ['cover material', 'uv + abrasion-resistant waterproof nylon top and vulcanised natural rubber'], ['use', 'road, touring, gravel, bikepacking'], ['riding position', 'forward riding position'], ['dimensions', '132mm'], ['weight', '132mm'], ['rail material', 'carbon'], ['road', 'yes']]",99.99,saddle,brooks
84,Brooks England Cambium C17 All Weather Bike Saddle,"[['top', 'vulcanised natural rubber with nylon cover'], ['base', 'fibreglass reinforced nylon'], ['rails', 'tubular steel, 7x7mm'], ['dimensions (lxw)', '283x164mm'], ['height', '52mm'], ['weight', '464g'], ['rail material', 'alloy'], ['road', 'yes'], ['mtb', 'yes']]",104.99,saddle,brooks
86,Brooks England Cambium C15 All Weather Bike Saddle,"[['top', 'vulcanised natural rubber with nylon cover'], ['rails', 'steel'], ['base', 'fibreglass reinforced nylon'], ['length', '283 mm'], ['width', '140 mm'], ['height', '52mm'], ['weight', '450 g'], ['rail material', 'alloy'], ['road', 'yes'], ['mtb', 'yes']]",94.99,saddle,brooks
88,Brooks England Cambium C17 All Weather Carved Bike Saddle,"[['top', 'vulcanised natural rubber with nylon cover'], ['base', 'fibreglass reinforced nylon'], ['length', '283mm'], ['width', '164mm'], ['height', '52mm'], ['weight', '446g'], ['rail material', 'alloy'], ['road', 'yes'], ['mtb', 'yes']]",99.99,saddle,brooks
90,Brooks England Cambium C19 All Weather Bike Saddle,"[['top', 'vulcanised natural rubber with nylon cover'], ['rails', 'steel'], ['base', 'fibreglass reinforced nylon'], ['length', '275mm'], ['width', '184mm'], ['height', '57 mm'], ['rail material', 'alloy'], ['road', 'yes'], ['mtb', 'yes']]",74.99,saddle,brooks
94,Brooks England Cambium All-Weather C13 Carved Saddle,"[['rail material', 'continuous carbon (oval)'], ['rivet material', 'anodised aluminium'], ['cover material', 'uv + abrasion-resistant waterproof nylon top and vulcanised natural rubber'], ['use', 'road, touring, gravel, bikepacking'], ['riding position', 'forward riding position'], ['dimensions', '132mm'], ['weight', '132mm'], ['rail material', 'carbon'], ['road', 'yes']]",159.99,saddle,brooks
141,Brooks England Cambium C67 All-Weather Saddle,"[['cover material', 'vulcanised natural rubber saddle top, uv + abrasion-resistant waterproof nylon top'], ['rails material', 'black steel'], ['use', 'road, e-bike, cargo and city'], ['dimensions', 'length'], [""manufacturer's part number"", 'scm67nya00000'], ['weight', '485g'], ['rail material', 'steel'], ['road', 'yes']]",87.99,saddle,brooks
336,Brooks England B66 Short Saddle,"[['length', '240mm'], ['width', '205mm'], ['height', '102mm'], ['weight', '1020g'], ['rail material', 'alloy'], ['road', 'yes']]",102.99,saddle,brooks
616,Brooks England Premium Leather Saddle Care Kit,"[[""manufacturer's part number"", 'ama0200a00']]",23.99,saddle,brooks
617,Brooks England Leather Saddle Care Kit,[],12.99,saddle,brooks
5023,Brooks England Microfibre Bar Tape,"[['thickness', '3 mm'], ['length', '215 cm'], ['road', 'yes']]",14.99,bar_tape,brooks
5030,Brooks England Cambium Rubber Bar Tape,"[['thickness', '3 mm'], ['length', '215 cm'], ['the bar tape comes in a kit including', ''], ['road', 'yes']]",34.99,bar_tape,brooks
5038,Brooks England Leather Bar Tape,"[['thickness', '2 mm'], ['length', '215 cm'], ['road', 'yes']]",40.83,bar_tape,brooks
5189,Brooks England Slender Grips,"[['mtb', 'yes']]",53.49,grips,brooks
5205,Brooks England Plump Grips,"[['grip material', 'vegetable tanned leather'], ['mtb', 'yes']]",44.99,grips,brooks
5224,Brooks England Leather Grips,"[['grip material', 'leather'], ['ring material', 'aluminium'], ['use', 'road, gravel and mtb'], ['size', '130mm'], ['diameter', '22.2mm'], ['mtb', 'yes']]",52.99,grips,brooks
