Character1,Character2,MidWithOffLane,MidWithSemiSupport,MidWithFullSupport,MidWithCarry,OffLaneWithMid,OffLaneWithSemiSupport,OffLaneWithFullSupport,OffLaneWithCarry,SemiSupportWithMid,SemiSupportWithOffLane,SemiSupportWithFullSupport,SemiSupportWithCarry,FullSupportWithMid,FullSupportWithOffLane,FullSupportWithSemiSupport,FullSupportWithCarry,CarryWithMid,CarryWithOffLane,CarryWithSemiSupport,CarryWithFullSupport,MidAgainstMid,MidAgainstOffLane,MidAgainstSemiSupport,MidAgainstFullSupport,MidAgainstCarry,OffLaneAgainstMid,OffLaneAgainstOffLane,OffLaneAgainstSemiSupport,OffLaneAgainstFullSupport,OffLaneAgainstCarry,SemiSupportAgainstMid,SemiSupportAgainstOffLane,SemiSupportAgainstSemiSupport,SemiSupportAgainstFullSupport,SemiSupportAgainstCarry,FullSupportAgainstMid,FullSupportAgainstOffLane,FullSupportAgainstSemiSupport,FullSupportAgainstFullSupport,FullSupportAgainstCarry,CarryAgainstMid,CarryAgainstOffLane,CarryAgainstSemiSupport,CarryAgainstFullSupport,CarryAgainstCarry
Brewmaster,Zeus,0.5247,0.5247,0.5247,0.5247,0.5247,0.5247,0.5247,0.5247,0.5247,0.5247,0.5247,0.5247,0.5247,0.5247,0.5247,0.5247,0.5247,0.5247,0.5247,0.5247,0.4934,0.4934,0.4934,0.4934,0.4934,0.4934,0.4934,0.4934,0.4934,0.4934,0.4934,0.4934,0.4934,0.4934,0.4934,0.4934,0.4934,0.4934,0.4934,0.4934,0.4934,0.4934,0.4934,0.4934,0.4934
Brewmaster,Bane,0.5873,0.5873,0.5873,0.5873,0.5873,0.5873,0.5873,0.5873,0.5873,0.5873,0.5873,0.5873,0.5873,0.5873,0.5873,0.5873,0.5873,0.5873,0.5873,0.5873,0.4789,0.4789,0.4789,0.4789,0.4789,0.4789,0.4789,0.4789,0.4789,0.4789,0.4789,0.4789,0.4789,0.4789,0.4789,0.4789,0.4789,0.4789,0.4789,0.4789,0.4789,0.4789,0.4789,0.4789,0.4789
Brewmaster,Ancient Apparition,0.5561,0.5561,0.5561,0.5561,0.5561,0.5561,0.5561,0.5561,0.5561,0.5561,0.5561,0.5561,0.5561,0.5561,0.5561,0.5561,0.5561,0.5561,0.5561,0.5561,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076
Brewmaster,Earth Spirit,0.5346,0.5346,0.5346,0.5346,0.5346,0.5346,0.5346,0.5346,0.5346,0.5346,0.5346,0.5346,0.5346,0.5346,0.5346,0.5346,0.5346,0.5346,0.5346,0.5346,0.4442,0.4442,0.4442,0.4442,0.4442,0.4442,0.4442,0.4442,0.4442,0.4442,0.4442,0.4442,0.4442,0.4442,0.4442,0.4442,0.4442,0.4442,0.4442,0.4442,0.4442,0.4442,0.4442,0.4442,0.4442
Brewmaster,Ember Spirit,0.534,0.534,0.534,0.534,0.534,0.534,0.534,0.534,0.534,0.534,0.534,0.534,0.534,0.534,0.534,0.534,0.534,0.534,0.534,0.534,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482
Brewmaster,Void Spirit,0.5376,0.5376,0.5376,0.5376,0.5376,0.5376,0.5376,0.5376,0.5376,0.5376,0.5376,0.5376,0.5376,0.5376,0.5376,0.5376,0.5376,0.5376,0.5376,0.5376,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985
Brewmaster,Tinker,0.5467,0.5467,0.5467,0.5467,0.5467,0.5467,0.5467,0.5467,0.5467,0.5467,0.5467,0.5467,0.5467,0.5467,0.5467,0.5467,0.5467,0.5467,0.5467,0.5467,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234
Brewmaster,Juggernaut,0.5263,0.5263,0.5263,0.5263,0.5263,0.5263,0.5263,0.5263,0.5263,0.5263,0.5263,0.5263,0.5263,0.5263,0.5263,0.5263,0.5263,0.5263,0.5263,0.5263,0.4912,0.4912,0.4912,0.4912,0.4912,0.4912,0.4912,0.4912,0.4912,0.4912,0.4912,0.4912,0.4912,0.4912,0.4912,0.4912,0.4912,0.4912,0.4912,0.4912,0.4912,0.4912,0.4912,0.4912,0.4912
Brewmaster,Pangolier,0.5195,0.5195,0.5195,0.5195,0.5195,0.5195,0.5195,0.5195,0.5195,0.5195,0.5195,0.5195,0.5195,0.5195,0.5195,0.5195,0.5195,0.5195,0.5195,0.5195,0.4584,0.4584,0.4584,0.4584,0.4584,0.4584,0.4584,0.4584,0.4584,0.4584,0.4584,0.4584,0.4584,0.4584,0.4584,0.4584,0.4584,0.4584,0.4584,0.4584,0.4584,0.4584,0.4584,0.4584,0.4584
Brewmaster,Broodmother,0.5576,0.5576,0.5576,0.5576,0.5576,0.5576,0.5576,0.5576,0.5576,0.5576,0.5576,0.5576,0.5576,0.5576,0.5576,0.5576,0.5576,0.5576,0.5576,0.5576,0.5022,0.5022,0.5022,0.5022,0.5022,0.5022,0.5022,0.5022,0.5022,0.5022,0.5022,0.5022,0.5022,0.5022,0.5022,0.5022,0.5022,0.5022,0.5022,0.5022,0.5022,0.5022,0.5022,0.5022,0.5022
Brewmaster,Io,0.5693,0.5693,0.5693,0.5693,0.5693,0.5693,0.5693,0.5693,0.5693,0.5693,0.5693,0.5693,0.5693,0.5693,0.5693,0.5693,0.5693,0.5693,0.5693,0.5693,0.4474,0.4474,0.4474,0.4474,0.4474,0.4474,0.4474,0.4474,0.4474,0.4474,0.4474,0.4474,0.4474,0.4474,0.4474,0.4474,0.4474,0.4474,0.4474,0.4474,0.4474,0.4474,0.4474,0.4474,0.4474
Brewmaster,Snapfire,0.5246,0.5246,0.5246,0.5246,0.5246,0.5246,0.5246,0.5246,0.5246,0.5246,0.5246,0.5246,0.5246,0.5246,0.5246,0.5246,0.5246,0.5246,0.5246,0.5246,0.4739,0.4739,0.4739,0.4739,0.4739,0.4739,0.4739,0.4739,0.4739,0.4739,0.4739,0.4739,0.4739,0.4739,0.4739,0.4739,0.4739,0.4739,0.4739,0.4739,0.4739,0.4739,0.4739,0.4739,0.4739
Brewmaster,Treant Protector,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.4744,0.4744,0.4744,0.4744,0.4744,0.4744,0.4744,0.4744,0.4744,0.4744,0.4744,0.4744,0.4744,0.4744,0.4744,0.4744,0.4744,0.4744,0.4744,0.4744,0.4744,0.4744,0.4744,0.4744,0.4744
Brewmaster,Vengeful Spirit,0.5207,0.5207,0.5207,0.5207,0.5207,0.5207,0.5207,0.5207,0.5207,0.5207,0.5207,0.5207,0.5207,0.5207,0.5207,0.5207,0.5207,0.5207,0.5207,0.5207,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926,0.4926
Brewmaster,Slark,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.4901,0.4901,0.4901,0.4901,0.4901,0.4901,0.4901,0.4901,0.4901,0.4901,0.4901,0.4901,0.4901,0.4901,0.4901,0.4901,0.4901,0.4901,0.4901,0.4901,0.4901,0.4901,0.4901,0.4901,0.4901
Brewmaster,Silencer,0.5261,0.5261,0.5261,0.5261,0.5261,0.5261,0.5261,0.5261,0.5261,0.5261,0.5261,0.5261,0.5261,0.5261,0.5261,0.5261,0.5261,0.5261,0.5261,0.5261,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133,0.5133
Brewmaster,Phoenix,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.4817,0.4817,0.4817,0.4817,0.4817,0.4817,0.4817,0.4817,0.4817,0.4817,0.4817,0.4817,0.4817,0.4817,0.4817,0.4817,0.4817,0.4817,0.4817,0.4817,0.4817,0.4817,0.4817,0.4817,0.4817
Brewmaster,Ringmaster,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734
