Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Protocol,Class,Interface Type,Output Power,Data Rate,Receiver Sensitivity,Frequency,Operating Supply Voltage,Minimum Operating Temperature,Maximum Operating Temperature,Series,Packaging,Protocol - Bluetooth, BLE - 802.15.1,Protocol - WiFi - 802.11,Protocol - ANT, Thread, Zigbee - 802.15.4,Protocol - Sub GHz
727-CYBLE-014008-00,CYBLE-014008-00,Cypress Semiconductor,https://ru.mouser.com/datasheet/2/100/002-00023_CYBLE-014008-00_EZ-BLE_Creator_Module-772884.pdf,663  In Stock,$22.85,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Cypress-Semiconductor/CYBLE-014008-00?qs=dApJwNzDUnx9i1hwutmB2A==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CYBLE-014008-00&utm_content=Cypress-Semiconductor,Bluetooth 4.1,Bluetooth Low Energy (BLE),,3 dBm,,- 91 dBm,2.4 GHz,1.71 V to 5.5 V,- 40 C,+ 85 C,,"Cut Tape, Reel",BLE,,,,,,
239-BTM511,BTM511,Laird Connectivity,https://ru.mouser.com/datasheet/2/986/Product_Brief_-_BTM510-511_v.22.2.5.0-1590420.pdf,83  In Stock,$34.07,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Laird-Connectivity/BTM511?qs=BmwE3IFx0MfGYoCdjUBM4g==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BTM511&utm_content=Laird-Connectivity,Bluetooth 2.1 + EDR,Class 2,UART,4 dBm,3 Mb/s,- 86 dBm,2.4 GHz,3 V to 3.6 V,- 30 C,+ 70 C,BTM510/511,Each,Bluetooth,,,,,,
727-CYBLE-212006-01,CYBLE-212006-01,Cypress Semiconductor,https://www.cypress.com/file/318881/download,294  In Stock,$28.99,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Cypress-Semiconductor/CYBLE-212006-01?qs=u4fy/sgLU9NKZwBJpxj9ng==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CYBLE-212006-01&utm_content=Cypress-Semiconductor,Bluetooth 4.2,Bluetooth Low Energy (BLE),"I2C, SPI, UART",7.5 dBm,1 Mb/s,- 93 dBm,2.402 GHz to 2.48 GHz,1.71 V to 5.5 V,- 40 C,+ 85 C,,"Cut Tape, Reel",BLE,,,,,,
579-RN4870U-V/RM118,RN4870U-V/RM118,Microchip Technology,https://ru.mouser.com/datasheet/2/268/RN4870_71_Data_Sheet_DS50002489E-2005789.pdf,267  In Stock,$9.92,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology/RN4870U-V-RM118?qs=U58vgkJzipR1sqCwU8NXnw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RN4870U-V/RM118&utm_content=Microchip-Technology,Bluetooth 4.2,Bluetooth Low Energy (BLE),UART,0 dBm,10 kb/s,- 90 dBm,2.402 GHz to 2.48 GHz,1.9 V to 3.6 V,- 20 C,+ 70 C,RN4870,Tray,BLE,,,,,,
579-78SPPS5MC20004AA,BM78SPPS5MC2-0004AA,Microchip Technology,https://ru.mouser.com/datasheet/2/268/60001380A-967556.pdf,132  In Stock,$16.33,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology/BM78SPPS5MC2-0004AA?qs=HXFqYaX1Q2zl7JTybbxhYA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BM78SPPS5MC2-0004AA&utm_content=Microchip-Technology,,,UART,,,,2.4 GHz,3.3 V to 4.2 V,- 20 C,+ 70 C,BM78,Tray,Bluetooth,,,,,,
239-BT900-US,BT900-US,Laird Connectivity,https://ru.mouser.com/datasheet/2/986/Datasheet_(Hardware_Integration_Guide)_-_BT900-US-1591034.pdf,86  In Stock,$47.53,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Laird-Connectivity/BT900-US?qs=rbWJnv9lMS/Xo9imx5waDA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BT900-US&utm_content=Laird-Connectivity,Bluetooth 4.0,Bluetooth Low Energy (BLE),"GPIO, I2C, SPI, UART",8 dBm,3 Mb/s,- 90 dBm,2.4 GHz,5 V,- 40 C,+ 85 C,BT900,,Bluetooth,,,,,,
239-TRBLU23-00200,TRBLU2300200-07-01,Laird Connectivity,https://ru.mouser.com/datasheet/2/986/Product_Brief_-_TRBLU23-1590883.pdf,89  In Stock,$66.97,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Laird-Connectivity/TRBLU2300200-07-01?qs=PzGy0jfpSMt09y0pWla%2BSQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TRBLU2300200-07-01&utm_content=Laird-Connectivity,,,,,,,,,,,,Bulk,,,,,,,
239-BL600-SA,BL600-SA,Laird Connectivity,https://ru.mouser.com/datasheet/2/986/Product_Brief_-_BL600-1590096.pdf,248  In Stock,$21.58,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Laird-Connectivity/BL600-SA?qs=9fLmHGdpeLU01kR7THGlmA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BL600-SA&utm_content=Laird-Connectivity,Bluetooth 4.0,Bluetooth Low Energy (BLE),"GPIO, I2C, SPI, UART",4 dBm,1 Mb/s,- 91 dBm,2.4 GHz,1.8 V to 3.6 V,- 25 C,+ 75 C,BL600,Tray,BLE,,,,,,
239-BRBLU03-010A0,BRBLU03-010A0,Laird Connectivity,https://ru.mouser.com/datasheet/2/986/LWS-SPEC-BRBLU03_0209-1590425.pdf,102  In Stock,$73.77,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Laird-Connectivity/BRBLU03-010A0?qs=SFtkwOqhffkbdGXx8xOSqg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BRBLU03-010A0&utm_content=Laird-Connectivity,Bluetooth 2.0 + EDR,Class 1,USB,6 dBm,3 Mb/s,- 84 dBm,2.4 GHz,5 V,- 40 C,+ 85 C,,,Bluetooth,,,,,,
727-CYBT-343151-02,CYBT-343151-02,Cypress Semiconductor,https://www.cypress.com/file/457546/download,970  In Stock,$21.12,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Cypress-Semiconductor/CYBT-343151-02?qs=vLWxofP3U2x0MRTDokcC7Q==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CYBT-343151-02&utm_content=Cypress-Semiconductor,Bluetooth 5.0,"Bluetooth Low Energy (BLE), Class 1, Class 2","Ethernet, I2C, I2S, SPI, UART",12 dBm,4 Mb/s,"- 89.5 dBm, - 96.5 dBm",,2.3 V to 3.6 V,- 30 C,+ 85 C,,"Cut Tape, Reel",BLE,,,,,,
239-BTM431,BTM431,Laird Connectivity,https://ru.mouser.com/datasheet/2/986/Datasheet_(HIG)_-_BTM43x_Modules-1591066.pdf,73  In Stock,$35.85,,,https://ru.mouser.com/ProductDetail/Laird-Connectivity/BTM431?qs=18WYLvqSxEpB0QdVofZ5Sw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BTM431&utm_content=Laird-Connectivity,Bluetooth 2.0 + EDR,Class 2,UART,4 dBm,2.1 Mb/s,- 84 dBm,2.4 GHz,3 V to 3.3 V,- 40 C,+ 85 C,BTM430/431,,Bluetooth,,,ISM,,,
239-BL620-US,BL620-US,Laird Connectivity,https://ru.mouser.com/datasheet/2/986/Product_Brief_-_BL600-1590096.pdf,127  In Stock,$38.43,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Laird-Connectivity/BL620-US?qs=L89NpsmQwp9ut%2BozB0vVSA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BL620-US&utm_content=Laird-Connectivity,Bluetooth 4.0,Bluetooth Low Energy (BLE),"I2C, SPI, UART, USB",4 dBm,1 Mb/s,- 91 dBm,2.4 GHz,1.8 V to 3.6 V,- 40 C,+ 85 C,BL600,Bulk,BLE,,,,,,
579-78SPP05MC20004AA,BM78SPP05MC2-0004AA,Microchip Technology,https://ru.mouser.com/datasheet/2/268/60001380A-967556.pdf,446  In Stock,$13.08,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology/BM78SPP05MC2-0004AA?qs=HXFqYaX1Q2zeIF%2BXcr4ipw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BM78SPP05MC2-0004AA&utm_content=Microchip-Technology,,,UART,,,,2.4 GHz,3.3 V to 4.2 V,- 20 C,+ 70 C,BM78,Tray,Bluetooth,,,,,,
220-TNP-NSR103,TnP-NSR103,IoTize,https://ru.mouser.com/datasheet/2/1101/DS_TapNPass-1901942.pdf,11  In Stock,$473.10,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/IoTize/TnP-NSR103?qs=DPoM0jnrROWPNbIqN3y9cA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TnP-NSR103&utm_content=IoTize,Bluetooth 4.1,Bluetooth Low Energy (BLE),Serial,3 dBm,0.5 kb/s,- 93 dBm,2.402 GHz to 2.48 GHz,2.3 V to 3.6 V,- 20 C,+ 55 C,TnP,Each,BLE,,,,,,
426-DFR0781,DFR0781,DFRobot,,7  In Stock,$5.90,,New Product,https://ru.mouser.com/ProductDetail/DFRobot/DFR0781?qs=IS%2B4QmGtzzqLTyW2/E9FLA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=DFR0781&utm_content=DFRobot,,,,,,,,,,,,,,,,,,,
579-78SPP05NC20001AA,BM78SPP05NC2-0001AA,Microchip Technology,https://ru.mouser.com/datasheet/2/268/BM78_Data_Sheet_DS60001380D-965448.pdf,97  In Stock,$12.83,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology/BM78SPP05NC2-0001AA?qs=vH2uEH3KBjXmbI3%2BMMErNg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BM78SPP05NC2-0001AA&utm_content=Microchip-Technology,Bluetooth 4.0,Class 2,UART,2 dBm,1 Mb/s,"- 90 dBm, - 92 dBm",2.4 GHz,3.2 V to 4.3 V,- 20 C,+ 70 C,BM78,Bulk,Bluetooth,,,,,,
579-78SPPS5NC20001AA,BM78SPPS5NC2-0001AA,Microchip Technology,https://ru.mouser.com/datasheet/2/268/BM78_Data_Sheet_DS60001380D-965448.pdf,31  In Stock,$15.32,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology/BM78SPPS5NC2-0001AA?qs=vH2uEH3KBjUCX17cMzWByg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BM78SPPS5NC2-0001AA&utm_content=Microchip-Technology,Bluetooth 4.0,Class 2,UART,2 dBm,1 Mb/s,"- 90 dBm, - 92 dBm",2.4 GHz,3.2 V to 4.3 V,- 20 C,+ 70 C,BM78,Bulk,Bluetooth,,,,,,
359-ISP1507-AL-ST,ISP1507-AL-ST,Insight SiP,https://ru.mouser.com/datasheet/2/889/isp_ble_DS1507-1221980.pdf,12  In Stock,$17.71,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Insight-SiP/ISP1507-AL-ST?qs=qSfuJ%2Bfl/d4x/2rhasXQ%2Bg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ISP1507-AL-ST&utm_content=Insight-SiP,Bluetooth 5.0,Bluetooth Low Energy (BLE),"I2C, SPI, UART",4 dBm,2 Mb/s,- 96 dBm,2.4 GHz,1.7 V to 3.6 V,- 40 C,+ 85 C,ISP1507,,BLE,,,,,,
364-ACN52832,ACN52832,aconno,https://ru.mouser.com/datasheet/2/871/aconno_ACN52832_data_sheet-2005180.pdf,57  In Stock,$19.40,RoHS Compliant,,https://ru.mouser.com/ProductDetail/aconno/ACN52832?qs=EU6FO9ffTwfCHB2PmZbruw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ACN52832&utm_content=aconno,Bluetooth 4.2,Bluetooth Low Energy (BLE),"I2C, I2S, PDM, SPI, UART",4 dBm,1 Mb/s,- 96 dBm,2.4 GHz,1.7 V to 3.6 V,- 40 C,+ 85 C,,,Bluetooth,,,,,,
485-1327,1327,Adafruit,,54  In Stock,$19.38,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Adafruit/1327?qs=GURawfaeGuAImn7GlvpgVA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1327&utm_content=Adafruit,Bluetooth 4.0,Bluetooth Low Energy (BLE),,,,,2.4 GHz,,,,,Bulk,BLE,,,,,,
579-63SPKA1MGA0001AC,BM63SPKA1MGA-0001AC,Microchip Technology,https://ru.mouser.com/datasheet/2/268/60001431B-1369847.pdf,75  In Stock,$20.28,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology/BM63SPKA1MGA-0001AC?qs=ZEMkBHnybRFrGEFILF6s0g==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BM63SPKA1MGA-0001AC&utm_content=Microchip-Technology,Bluetooth 4.2,Bluetooth Low Energy (BLE),,,,,,,,,BM63,Bulk,BLE,,,,,,
