Work,Alternative Author,Score,Probability
The_Messenger,Thomas Ligotti,0.31929713,0.57915294
The_Moon-Bog,Brian Lumley,0.5277627,0.62896115
The_Music_of_Erich_Zann,Thomas Ligotti,0.38802713,0.5958077
The_Music_of_Erich_Zann_%28Nick_OGorman%29,Thomas Ligotti,0.40452868,0.59977525
The_Mysterious_Ship,Thomas Ligotti,0.62059724,0.6503544
The_Mystery_of_the_Grave-Yard,Brian Lumley,0.2553025,0.5634812
The_Nameless_City,Brian Lumley,0.2711698,0.5673801
The_New_Annotated_H._P._Lovecraft,Brian Lumley,0.7687731,0.6832554
The_New_Annotated_H._P._Lovecraft:_Beyond_Arkham,Thomas Ligotti,0.09150042,0.52285916
The_Nightmare_Lake,Brian Lumley,0.50459945,0.6235396
The_Other_Gods,Brian Lumley,0.54406214,0.6327568
The_Outpost,Brian Lumley,0.41054964,0.6012197
The_Outsider,Brian Lumley,0.21416123,0.55333656
The_Outsider_and_Others,Brian Lumley,0.7817466,0.68605644
The_Picture_in_the_House,Thomas Ligotti,0.43388224,0.6068003
The_Poe-ets_Nightmare,Brian Lumley,0.41397554,0.6020407
The_Quest_of_Iranon,Thomas Ligotti,0.61682636,0.64949644
The_Rats_in_the_Walls,Brian Lumley,0.10956459,0.5273638
The_Secret_Cave_or_John_Lees_Adventure,Brian Lumley,0.5659642,0.6378314
The_Shadow_Out_of_Time,Brian Lumley,0.2686981,0.56677324
The_Shadow_Out_of_Time_%28I._N._J._Culbard%29,Brian Lumley,0.7435556,0.6777729
The_Shadow_Over_Innsmouth,Brian Lumley,0.41308963,0.60182846
The_Shadow_Over_Innsmouth_%28Simon_Birks%29,Brian Lumley,0.55128056,0.6344327
The_Shadow_Over_Innsmouth_and_Other_Stories_of_Horror,Thomas Ligotti,0.14030121,0.5350179
The_Shunned_House,Brian Lumley,0.4543452,0.6116718
The_Silver_Key,Thomas Ligotti,0.33686936,0.5834299
The_Sorcery_of_Aphlar,Brian Lumley,0.10502386,0.5262318
The_Statement_of_Randolph_Carter,Brian Lumley,0.13122696,0.5327597
The_Strange_High_House_in_the_Mist,Brian Lumley,0.17750715,0.5442606
The_Street,Brian Lumley,0.51476073,0.62592185
The_Survivor_and_Others,Thomas Ligotti,0.3772297,0.59320474
The_Temple,Brian Lumley,0.33675578,0.5834023
The_Terrible_Old_Man,Brian Lumley,0.7153254,0.6715768
The_Thing_in_the_Moonlight,Brian Lumley,0.2826395,0.57019323
The_Thing_on_the_Doorstep,Thomas Ligotti,0.44816062,0.61020184
The_Thing_on_the_Doorstep_%28Simon_Birks%29,Thomas Ligotti,0.18689817,0.546589
The_Thing_on_the_Doorstep_and_Other_Weird_Stories,Thomas Ligotti,0.29813495,0.57398653
The_Tomb,Brian Lumley,0.20482036,0.5510269
The_Tomb_and_Other_Tales,Thomas Ligotti,0.13303775,0.53321046
The_Transition_of_Juan_Romero,Thomas Ligotti,0.35462645,0.587739
The_Tree,Frank Belknap Long,0.37558532,0.59280795
The_Truth_About_Mars,Thomas Ligotti,0.33263272,0.58239985
The_Unknown_City_in_the_Ocean,Thomas Ligotti,0.39231852,0.5968407
The_Unnamable_%28short_story%29,Brian Lumley,0.64090234,0.6549574
The_Very_Old_Folk,Thomas Ligotti,0.37292078,0.5921646
The_Watchers_Out_of_Time_and_Others,Brian Lumley,0.7435234,0.6777659
The_Whisperer_in_Darkness,Frank Belknap Long,0.39942506,0.5985495
The_Whisperer_in_Darkness:_Collected_Stories_Volume_One,Brian Lumley,0.70893574,0.67016596
The_White_Ship,Brian Lumley,0.33074105,0.5819397
The_Wood,Thomas Ligotti,0.14471734,0.53611636
The_World_of_H._P._Lovecraft,Thomas Ligotti,0.09316272,0.5232738
The_Worlds_of_H._P._Lovecraft:_Arthur_Jermyn,Thomas Ligotti,0.17838976,0.54447955
The_Worlds_of_H._P._Lovecraft:_Beyond_the_Wall_of_Sleep,Brian Lumley,0.31930193,0.5791541
The_Worlds_of_H._P._Lovecraft:_Dagon,Brian Lumley,0.42083853,0.6036839
The_Worlds_of_H._P._Lovecraft:_The_Alchemist,Thomas Ligotti,0.25946093,0.5645038
The_Worlds_of_H._P._Lovecraft:_The_Lurking_Fear,Brian Lumley,0.60052055,0.6457754
The_Worlds_of_H._P._Lovecraft:_The_Music_of_Erich_Zann,Thomas Ligotti,0.32301414,0.58005863
The_Worlds_of_H._P._Lovecraft:_The_Picture_in_the_House,Thomas Ligotti,0.2366127,0.5588788
The_Worlds_of_H._P._Lovecraft:_The_Shadow_Over_Innsmouth,Brian Lumley,0.73561937,0.6760372
The_Worlds_of_H._P._Lovecraft:_The_Statement_of_Randolph_Carter,Thomas Ligotti,0.51851654,0.6268008
The_Worlds_of_H._P._Lovecraft:_The_Tomb,Thomas Ligotti,0.022451827,0.50561273
The_Worlds_of_H._P._Lovecraft_%28series%29,Brian Lumley,0.74847996,0.6788474
Till_A_the_Seas,Brian Lumley,0.39239672,0.5968596
"To_Mistress_Sophia_Simple,_Queen_of_the_Cinema",Brian Lumley,0.7619731,0.68178195
To_Quebec_and_the_Stars,Brian Lumley,0.6557844,0.6583128
"To_Samuel_Loveman,_Esquire,_on_His_Poetry_and_Drama,_Writ_in_the_Elizabethan_Style",Thomas Ligotti,0.25849846,0.56426716
To_a_Dreamer,Brian Lumley,0.16221097,0.54046404
To_the_American_Flag,Thomas Ligotti,0.47722167,0.6170916
Uncollected_Prose_%26_Poetry_Volume_2,Thomas Ligotti,0.12594113,0.5314437
Wee_Weird:_The_Call_of_Cthulhu,Thomas Ligotti,0.59798676,0.64519554
What_Belongs_in_Verse,Brian Lumley,0.7009758,0.66840404
What_the_Moon_Brings,Brian Lumley,0.55579615,0.63547933
Where_the_Deep_Ones_Are,Brian Lumley,0.7592623,0.6811936
Witches_Hollow,Brian Lumley,0.5842905,0.642054
Yule_Horror_%28Nick_OGorman%29,Brian Lumley,0.4057215,0.60006154
