Id;Name;Episodes;Franchise;Kind;Rating;Score;Status;AiredOn;ReleasedOn
100;Shin Shirayuki-hime Densetsu Pretear;13;;tv;pg_13;7.19;released;2001-04-03T20:00:00.0000000Z;2001-06-26T20:00:00.0000000Z
101;Air;12;air;tv;pg_13;7.31;released;2005-01-06T21:00:00.0000000Z;2005-03-24T21:00:00.0000000Z
102;Aishiteruze Baby★★;26;;tv;pg_13;7.48;released;2004-04-02T20:00:00.0000000Z;2004-10-08T20:00:00.0000000Z
103;Akazukin Chacha;74;akazukin_chacha;tv;g;7.38;released;1994-01-06T21:00:00.0000000Z;1995-06-29T20:00:00.0000000Z
104;Ayashi no Ceres;24;nyanbo;tv;r;7.23;released;2000-04-19T20:00:00.0000000Z;2000-09-27T20:00:00.0000000Z
105;Boys Be...;13;;tv;pg_13;6.45;released;2000-04-10T20:00:00.0000000Z;2000-07-03T20:00:00.0000000Z
106;Hana yori Dango;51;hana_yori_dango;tv;pg_13;7.69;released;1996-09-07T20:00:00.0000000Z;1997-08-30T20:00:00.0000000Z
107;Ou Dorobou Jing;13;ou_dorobou_jing;tv;pg_13;7.23;released;2002-05-14T20:00:00.0000000Z;2002-08-13T20:00:00.0000000Z
108;Ou Dorobou Jing in Seventh Heaven;3;ou_dorobou_jing;ova;pg_13;7.29;released;2004-01-20T21:00:00.0000000Z;2004-04-27T20:00:00.0000000Z
109;Bakuretsu Tenshi;24;bakuretsu_tenshi;tv;pg_13;6.81;released;2004-04-06T20:00:00.0000000Z;2004-09-14T20:00:00.0000000Z
110;Chuuka Ichiban!;52;chuuka_ichiban;tv;pg_13;7.63;released;1997-04-26T20:00:00.0000000Z;1998-09-12T20:00:00.0000000Z
111;Corrector Yui;52;;tv;pg;6.83;released;1999-04-08T20:00:00.0000000Z;2000-10-19T20:00:00.0000000Z
112;Chou Henshin Cosprayers;8;love_love;tv;pg_13;4.94;released;2004-01-11T21:00:00.0000000Z;2004-02-29T21:00:00.0000000Z
113;Uchuu no Stellvia;26;;tv;pg_13;7.38;released;2003-04-02T20:00:00.0000000Z;2003-09-24T20:00:00.0000000Z
114;Sakigake!! Cromartie Koukou;26;;tv;pg_13;7.93;released;2003-10-02T20:00:00.0000000Z;2004-03-25T21:00:00.0000000Z
115;El Hazard: The Alternative World;13;el_hazard;tv;pg_13;6.82;released;1998-01-07T21:00:00.0000000Z;1998-03-25T21:00:00.0000000Z
116;El Hazard: The Wanderers;26;el_hazard;tv;pg_13;6.96;released;1995-10-05T21:00:00.0000000Z;1996-03-28T21:00:00.0000000Z
117;El Hazard: The Magnificent World;7;el_hazard;ova;pg_13;7.31;released;1995-05-25T20:00:00.0000000Z;1996-01-24T21:00:00.0000000Z
118;El Hazard 2: The Magnificent World;4;el_hazard;ova;pg_13;6.84;released;1997-03-20T21:00:00.0000000Z;1997-10-24T20:00:00.0000000Z
119;Final Approach;13;;tv;pg_13;6.56;released;2004-10-02T20:00:00.0000000Z;2004-12-25T21:00:00.0000000Z
120;Fruits Basket;26;fruits_basket;tv;pg_13;7.69;released;2001-07-04T20:00:00.0000000Z;2001-12-26T21:00:00.0000000Z
121;Fullmetal Alchemist;51;fullmetal_alchemist;tv;pg_13;8.16;released;2003-10-03T20:00:00.0000000Z;2004-10-01T20:00:00.0000000Z
122;Full Moon wo Sagashite;52;full_moon_wo_sagashite;tv;pg_13;7.95;released;2002-04-05T20:00:00.0000000Z;2003-03-28T21:00:00.0000000Z
123;Fushigi Yuugi;52;fushigi_yuugi;tv;pg_13;7.64;released;1995-04-05T20:00:00.0000000Z;1996-03-27T21:00:00.0000000Z
124;Fushigi Yuugi: Eikouden;4;fushigi_yuugi;ova;pg_13;6.85;released;2001-12-20T21:00:00.0000000Z;2002-06-24T20:00:00.0000000Z
125;Futakoi;13;futakoi;tv;pg_13;6.49;released;2004-10-05T20:00:00.0000000Z;2004-12-28T21:00:00.0000000Z
126;Futakoi Alternative;13;futakoi;tv;pg_13;6.9;released;2005-04-06T20:00:00.0000000Z;2005-06-29T20:00:00.0000000Z
127;Gate Keepers;24;gate_keepers;tv;pg_13;6.95;released;2000-04-02T20:00:00.0000000Z;2000-09-17T20:00:00.0000000Z
128;Gate Keepers 21;6;gate_keepers;ova;pg_13;6.78;released;2002-04-23T20:00:00.0000000Z;2003-01-07T21:00:00.0000000Z
129;Gensoumaden Saiyuuki;50;saiyuki;tv;r;7.58;released;2000-04-03T20:00:00.0000000Z;2001-03-26T20:00:00.0000000Z
130;Saiyuuki Reload;25;saiyuki;tv;pg_13;7.41;released;2003-10-01T20:00:00.0000000Z;2004-03-24T21:00:00.0000000Z
131;Saiyuuki Reload Gunlock;26;saiyuki;tv;pg_13;7.41;released;2004-04-01T20:00:00.0000000Z;2004-09-23T20:00:00.0000000Z
132;GetBackers;49;;tv;pg_13;7.61;released;2002-10-04T20:00:00.0000000Z;2003-09-19T20:00:00.0000000Z
133;Green Green;12;green_green;tv;r_plus;6.2;released;2003-07-11T20:00:00.0000000Z;2003-09-26T20:00:00.0000000Z
134;Gunslinger Girl;13;gunslinger_girl;tv;r;7.41;released;2003-10-08T20:00:00.0000000Z;2004-02-18T21:00:00.0000000Z
135;Hikaru no Go;75;hikaru_no_go;tv;pg_13;8.1;released;2001-10-09T20:00:00.0000000Z;2003-03-25T21:00:00.0000000Z
136;Hunter x Hunter;62;hunter_x_hunter;tv;pg_13;8.41;released;1999-10-15T20:00:00.0000000Z;2001-03-30T20:00:00.0000000Z
137;Hunter x Hunter: Original Video Animation;8;hunter_x_hunter;ova;pg_13;8.33;released;2002-01-16T21:00:00.0000000Z;2002-04-16T20:00:00.0000000Z
138;Hunter x Hunter: Greed Island;8;hunter_x_hunter;ova;pg_13;8.21;released;2003-02-04T21:00:00.0000000Z;2003-04-15T20:00:00.0000000Z
139;Hunter x Hunter: Greed Island Final;14;hunter_x_hunter;ova;pg_13;8.28;released;2004-03-02T21:00:00.0000000Z;2004-08-17T20:00:00.0000000Z
141;Jinki:Extend;12;jinki;tv;r;6.13;released;2005-01-05T21:00:00.0000000Z;2005-03-23T21:00:00.0000000Z
142;Kamikaze Kaitou Jeanne;44;;tv;pg_13;7.45;released;1999-02-12T21:00:00.0000000Z;2000-01-28T21:00:00.0000000Z
143;Kannazuki no Miko;12;;tv;pg_13;6.86;released;2004-10-01T20:00:00.0000000Z;2004-12-17T21:00:00.0000000Z
144;Kanon;13;kanon;tv;g;7.11;released;2002-01-30T21:00:00.0000000Z;2002-03-27T21:00:00.0000000Z
145;Kareshi Kanojo no Jijou;26;;tv;pg_13;7.61;released;1998-10-01T20:00:00.0000000Z;1999-03-25T21:00:00.0000000Z
146;Kono Minikuku mo Utsukushii Sekai;12;;tv;r_plus;6.75;released;2004-04-01T20:00:00.0000000Z;2004-06-17T20:00:00.0000000Z
147;Kimi ga Nozomu Eien;14;akane_maniax;tv;r_plus;7.23;released;2003-10-04T20:00:00.0000000Z;2004-01-03T21:00:00.0000000Z
148;Kita e.: Diamond Dust Drops;12;kita_e;tv;pg_13;6.61;released;2004-01-19T21:00:00.0000000Z;2004-04-04T20:00:00.0000000Z
149;Loveless;12;loveless;tv;pg_13;6.85;released;2005-04-06T20:00:00.0000000Z;2005-06-29T20:00:00.0000000Z
150;Blood+;50;blood;tv;r;7.65;released;2005-10-07T20:00:00.0000000Z;2006-09-22T20:00:00.0000000Z
151;Re: Cutey Honey;3;cutey_honey;ova;r_plus;7.11;released;2004-07-23T20:00:00.0000000Z;2004-09-24T20:00:00.0000000Z
152;Solty Rei;24;solty_rei;tv;r;7.28;released;2005-10-06T20:00:00.0000000Z;2006-03-30T20:00:00.0000000Z
153;Juuni Kokuki;45;;tv;pg_13;8.06;released;2002-04-08T20:00:00.0000000Z;2003-08-29T20:00:00.0000000Z
154;Shaman King;64;shaman_king;tv;pg_13;7.78;released;2001-07-03T20:00:00.0000000Z;2002-09-24T20:00:00.0000000Z
155;X/1999;1;x;movie;r;6.58;released;1996-08-02T20:00:00.0000000Z;
156;X;24;x;tv;r_plus;7.43;released;2001-10-02T20:00:00.0000000Z;2002-03-26T21:00:00.0000000Z
157;Mahou Sensei Negima!;26;negima;tv;pg_13;6.97;released;2005-01-05T21:00:00.0000000Z;2005-06-29T20:00:00.0000000Z
158;Maria-sama ga Miteru;13;maria_sama;tv;pg_13;7.33;released;2004-01-07T21:00:00.0000000Z;2004-03-31T20:00:00.0000000Z
159;Boukyaku no Senritsu;24;;tv;pg_13;6.34;released;2004-04-06T20:00:00.0000000Z;2004-09-21T20:00:00.0000000Z
160;Ima, Soko ni Iru Boku;13;;tv;r;7.66;released;1999-10-13T20:00:00.0000000Z;2000-01-19T21:00:00.0000000Z
161;Peace Maker Kurogane;24;peace_maker_kurogane;tv;r;7.33;released;2003-10-07T20:00:00.0000000Z;2004-03-23T21:00:00.0000000Z
162;Pita Ten;26;;tv;g;6.94;released;2002-04-06T20:00:00.0000000Z;2002-09-28T20:00:00.0000000Z
163;Power Stone;26;;tv;pg;6.46;released;1999-04-02T20:00:00.0000000Z;1999-09-24T20:00:00.0000000Z
164;Mononoke Hime;1;;movie;pg_13;8.71;released;1997-07-11T20:00:00.0000000Z;
165;RahXephon;26;rahxephon;tv;pg_13;7.42;released;2002-01-20T21:00:00.0000000Z;2002-09-10T20:00:00.0000000Z
166;Samurai 7;26;;tv;pg_13;7.48;released;2004-06-11T20:00:00.0000000Z;2004-12-24T21:00:00.0000000Z
167;Scrapped Princess;24;;tv;pg_13;7.41;released;2003-04-07T20:00:00.0000000Z;2003-10-06T20:00:00.0000000Z
168;s.CRY.ed;26;s_cry_ed;tv;pg_13;7.37;released;2001-07-03T20:00:00.0000000Z;2001-12-25T21:00:00.0000000Z
169;Shingetsutan Tsukihime;12;fate;tv;r;6.9;released;2003-10-09T20:00:00.0000000Z;2003-12-25T21:00:00.0000000Z
170;Slam Dunk;101;slam_dunk;tv;pg_13;8.53;released;1993-10-15T21:00:00.0000000Z;1996-03-22T21:00:00.0000000Z
171;Strange Dawn;13;;tv;pg;6.34;released;2000-07-10T20:00:00.0000000Z;2000-09-25T20:00:00.0000000Z
173;Tactics;25;;tv;pg_13;7.22;released;2004-10-05T20:00:00.0000000Z;2005-03-29T20:00:00.0000000Z
174;Tenjou Tenge;24;tenjou_tenge;tv;r;6.92;released;2004-04-01T20:00:00.0000000Z;2004-09-16T20:00:00.0000000Z
175;Tokyo Underground;26;;tv;pg_13;6.63;released;2002-04-01T20:00:00.0000000Z;2002-09-23T20:00:00.0000000Z
176;Triangle Heart: Sweet Songs Forever;4;mahou_shoujo_lyrical_nanoha;ova;pg_13;6.19;released;2003-07-23T20:00:00.0000000Z;2003-12-25T21:00:00.0000000Z
177;Tsubasa Chronicle;26;tsubasa;tv;pg_13;7.54;released;2005-04-08T20:00:00.0000000Z;2005-10-14T20:00:00.0000000Z
178;Ultra Maniac;26;ultra_maniac;tv;g;7.17;released;2003-05-19T20:00:00.0000000Z;2003-11-10T21:00:00.0000000Z
179;Ultra Maniac OVA;1;ultra_maniac;ova;g;6.68;released;2002-08-05T20:00:00.0000000Z;
