SourceId;TargetId;Type
36343;71;full_story
36343;36342;prequel
36343;36344;sequel
36344;71;full_story
36344;36343;prequel
1015;73;parent_story
6291;71;prequel
6291;73;sequel
31931;73;prequel
31931;38149;summary
38149;31931;full_story
75;560;prequel
75;8098;sequel
75;9494;summary
75;34649;other
560;75;sequel
8098;75;prequel
8098;17080;sequel
9494;75;full_story
34649;75;other
34649;30549;prequel
34649;40109;sequel
17080;8098;prequel
17080;30549;sequel
17080;32034;alternative_version
30549;17080;prequel
30549;34649;sequel
40109;34649;prequel
40109;41714;sequel
32034;17080;alternative_version
41714;40109;prequel
41714;41814;sequel
41814;41714;prequel
76;77;sequel
76;176;spin_off
76;4985;alternative_version
76;12101;alternative_version
77;76;prequel
77;1915;sequel
77;10153;alternative_version
77;37933;other
176;76;character
176;4849;prequel
176;12101;side_story
4985;76;alternative_version
4985;10153;sequel
12101;76;alternative_version
12101;176;parent_story
1915;77;prequel
1915;25939;sequel
1915;37933;other
1915;37934;other
4849;176;sequel
10153;77;alternative_version
10153;4985;prequel
10153;17947;sequel
10153;32316;side_story
10153;37933;other
37933;77;other
37933;1915;other
37933;10153;other
37933;32316;prequel
37933;35501;other
37933;37934;other
17947;10153;prequel
17947;35984;sequel
25939;1915;prequel
25939;31137;summary
25939;33589;side_story
32316;10153;parent_story
32316;35501;sequel
32316;37933;sequel
35501;76;parent_story
35501;32316;prequel
37934;1915;other
37934;35501;other
37934;37933;other
31137;25939;full_story
33589;25939;parent_story
33589;34812;side_story
35984;17947;prequel
34812;33589;parent_story
79;1836;summary
79;7396;alternative_version
1836;79;full_story
7396;79;alternative_version
80;81;side_story
80;82;sequel
80;85;sequel
80;90;spin_off
80;92;spin_off
80;93;spin_off
80;95;spin_off
80;96;spin_off
80;1090;summary
80;1091;summary
80;1092;summary
80;1917;side_story
80;1939;other
80;2302;other
80;2391;spin_off
80;2581;spin_off
80;3288;side_story
80;4540;side_story
80;5270;other
80;5723;other
80;7060;side_story
80;7113;other
80;7953;character
80;8287;spin_off
80;9040;other
80;10808;spin_off
80;10937;alternative_version
80;14007;summary
80;18449;other
80;19977;other
80;20667;summary
80;23259;other
80;24371;summary
80;24835;other
80;31251;spin_off
80;31973;side_story
80;39674;other
80;40464;summary
80;41063;other
81;80;parent_story
81;82;parent_story
81;83;summary
81;5723;other
81;17717;side_story
81;40464;summary
82;80;prequel
82;81;side_story
82;84;sequel
82;40464;summary
85;80;prequel
85;84;prequel
85;86;sequel
85;1967;alternative_version
85;1968;alternative_version
85;1969;alternative_version
85;8839;side_story
85;14007;summary
85;24371;summary
85;40464;summary
90;80;parent_story
90;91;sequel
90;2273;sequel
90;3626;summary
90;22435;other
92;80;parent_story
93;80;other
93;864;side_story
93;2269;summary
93;2298;sequel
93;2743;spin_off
95;80;parent_story
95;3963;summary
95;3964;summary
95;40464;summary
96;80;parent_story
1090;80;full_story
1090;1091;sequel
1091;80;full_story
1091;1090;prequel
1091;1092;sequel
1092;80;full_story
1092;85;sequel
1092;1091;prequel
1917;80;parent_story
1917;1916;sequel
1939;80;other
2302;80;other
2302;2303;sequel
2302;2306;other
2302;9087;other
2302;9098;other
2302;30840;side_story
2391;80;parent_story
2581;80;parent_story
2581;3927;sequel
2581;5351;summary
2581;7270;summary
3288;80;parent_story
4540;80;parent_story
4540;19977;other
5270;80;other
5723;80;other
5723;81;other
7060;80;parent_story
7113;80;other
7953;80;character
7953;6215;prequel
8287;80;parent_story
8287;8132;alternative_version
8287;38715;sequel
9040;80;other
9040;19319;other
10808;80;parent_story
10808;17655;summary
10937;80;alternative_version
10937;39592;alternative_version
14007;80;full_story
14007;85;full_story
14007;86;full_story
14007;87;full_story
14007;6336;sequel
18449;80;parent_story
19977;80;full_story
19977;4540;other
20667;80;full_story
23259;80;parent_story
23259;31454;side_story
23259;34519;side_story
23259;38714;summary
23259;40890;summary
23259;43204;summary
24371;80;full_story
24371;85;full_story
24371;86;full_story
24371;87;full_story
24371;6336;full_story
24835;80;other
24835;32158;other
24835;33225;sequel
24835;33226;other
24835;33228;sequel
31251;80;other
31251;33051;sequel
31251;38982;sequel
31973;80;parent_story
31973;33221;alternative_version
31973;34391;sequel
39674;80;other
40464;80;full_story
40464;81;full_story
40464;82;full_story
40464;84;full_story
40464;85;full_story
40464;86;full_story
40464;87;full_story
40464;88;full_story
40464;89;full_story
40464;95;full_story
40464;6336;full_story
40464;37764;full_story
41063;80;other
83;81;full_story
84;82;prequel
84;85;sequel
84;2695;alternative_setting
84;10581;side_story
84;32898;side_story
84;40464;summary
86;85;prequel
86;87;sequel
86;9708;side_story
86;14007;summary
86;24371;summary
86;40464;summary
87;86;prequel
87;6336;sequel
87;14007;summary
87;24371;summary
87;32792;sequel
87;40464;summary
88;89;sequel
88;6336;prequel
88;36436;prequel
88;40464;summary
89;88;prequel
89;95;sequel
89;23259;sequel
89;40464;summary
91;90;prequel
91;1939;side_story
91;2273;alternative_version
864;93;parent_story
1916;1917;prequel
1916;4232;sequel
1967;80;prequel
1967;84;prequel
1967;85;alternative_version
1967;1092;prequel
1967;1968;sequel
1968;85;alternative_version
1968;1967;prequel
1968;1969;sequel
1969;85;alternative_version
1969;1968;prequel
2269;93;full_story
2273;90;prequel
